Generator,Power
SOURCEBUS,8774.01646225946
M1009763,10.0
M1026700,10.0
M1026891,10.0
M1108532,10.0
M1026907,10.0
M1026876,10.0
M1009805,10.0
M1069515,10.0
M1069509,10.0
M1047339,10.0
M1142871,10.0
M1142832,10.0
M1125969,10.0
M1209774,10.0
M1069461,10.0
M1209800,10.0
M1142828,10.0
M1026800,10.0
M1026701,10.0
M1069418,10.0
M1009784,10.0
M1047720,10.0
M1069533,10.0
M1047763,10.0
M1026851,10.0
M1186064,10.0
M1047526,10.0
M1089207,10.0
M1047649,10.0
M1166377,10.0
M1125997,10.0
M4277837,10.0
M1069503,10.0
M1047497,10.0
M1108493,10.0
M1047688,10.0
M1069498,10.0
M1026861,10.0
M1047615,10.0
M4113347,10.0
M1149233,10.0
M1089120,10.0
M1026977,10.0
M1027055,10.0
M1026796,10.0
M1026744,10.0
M1089115,10.0
M1047503,10.0
M1047574,10.0
M1069499,10.0
M1047513,10.0
M1186061,10.0
M1089143,10.0
M1069483,10.0
M1047732,10.0
M1069513,10.0
M1209805,10.0
M3032977,10.0
M1149236,10.0
M3763619,10.0
M1026695,10.0
M1069424,10.0
M1142865,10.0
M1125902,10.0
M1108381,10.0
M1026866,10.0
M1026329,10.0
M1108286,10.0
M1047485,10.0
M4362177,10.0
M1142819,10.0
M1026658,10.0
M1026960,10.0
M1026786,10.0
M3763618,10.0
M1069411,10.0
M1047292,10.0
M1047713,10.0
M1026858,10.0
M1026927,10.0
M1009651,10.0
M1108380,10.0
M1026354,10.0
M1026697,10.0
M1027043,10.0
M1027000,10.0
M1027039,10.0
M3768670,10.0
M1047580,10.0
M1047507,10.0
M1026954,10.0
M1047490,10.0
M1047324,10.0
M3036170,10.0
M1089118,10.0
M1149235,10.0
M1026341,10.0
M1026902,10.0
M1142863,10.0
M1089183,10.0
PVSystem.PV_L3104830,10.0
